,ku_eda,sk_eda,dynrange,slope,variance,entropy,insc,fd_mean,max_scr,min_scr,nSCR,meanAmpSCR,meanRespSCR,sumAmpSCR,sumRespSCR,Participant ID,Video ID,Gender,CMA,Video_ID_number,Valence,Arousal,Dominance,significance,arousal_category,valence_category,taskwiselabel,three_class_label
0,0.037351218526400096,0.4034539133310997,0.999999862816282,0.5740234247909665,0.03978073198538414,0.612928889420775,0.10409049113344576,0.6012227491831447,0.09876439452313465,0.9024290264154281,0.23162425583345977,0.07153966349840987,0.03578290105667628,0.0795807214071561,0.2045496494898926,12,0,Male,Baseline,0,5.0,4.0,3.0,3.0,1,1,0,1
1,0.06403605700294017,0.3338152490784645,0.9999998660371268,0.5207153561520943,0.045229795462139365,0.8325919791993543,0.21026282711723449,0.5534473015305585,0.08096926327234479,0.9117581122388874,0.2336415560595563,0.10492981856919818,0.02820882287741078,0.10954708167970167,0.1654931361651653,12,V1,Male,LVLA,1,4.0,4.0,4.0,2.0,1,1,0,1
2,0.10173437588060802,0.45089936216231485,0.9999998665461344,0.5699531308369525,0.06524235382064311,0.55641784460063,0.14834773625404218,0.6099864616787045,0.24880494033130973,0.8190803268960185,0.1696109596156377,0.24874774169756664,0.05583573487031701,0.21493123309282783,0.21401971931943423,12,V2,Male,LVLA,2,3.0,4.0,4.0,4.0,1,0,0,1
3,0.08716708854512807,0.37384803340711953,0.9999998548183715,0.49124110703578133,0.03707967298533012,0.6370395386165879,0.23443031253234767,0.5309235251351032,0.18904106672156945,0.8913640225995686,0.38567463707687333,0.2071384129421796,0.01940742074927954,0.35573556978714865,0.23745144724943787,12,V3,Male,LVHA,3,4.0,4.0,3.0,3.0,1,1,0,0
4,0.08226140027789008,0.37862595011240974,0.9999998558693077,0.5060197877045708,0.043444900454557685,0.6466468981629783,0.22899933080474716,0.601970556498495,0.17713261658287435,0.8547807727507066,0.3509901435172813,0.2333576111904075,0.02155841276878741,0.36872280090463,0.19957855963630022,12,V4,Male,LVHA,4,3.0,3.0,2.0,4.0,0,0,0,0
5,0.11961992690892494,0.4679975412695786,0.9999998532666088,0.5123479790214801,0.03606626541890646,0.30451637249123564,0.12109250776675555,0.48810022073905207,0.15570705276495933,0.8683091513183778,0.5005012999260188,0.12274554080016502,0.013688760806916427,0.24257277366744578,0.20106087217073507,12,V5,Male,HVHA,5,3.0,2.0,2.0,3.0,0,0,1,1
6,0.20004434940154392,0.5329084223106663,0.9999998549481113,0.4566202590534887,0.021787595085775137,0.37744919016948275,0.0960083624775375,0.43718681901132805,0.1383633192928574,0.9195887804403009,0.16907385987637438,0.12122872271492022,0.07384726224783862,0.10460062101108376,0.2533154870904212,12,V6,Male,HVLA,6,3.0,2.0,2.0,4.0,0,0,1,2
7,0.07202273585904317,0.44440667412034374,0.9999998567396324,0.5544278907624184,0.052405353347135336,0.5219102942009513,0.15446243130606965,0.5470264448175889,0.1741404638218417,0.8629600094781309,0.2851518698456834,0.2501136834204053,0.0489913544668588,0.2971160367307546,0.27901572483687076,12,V7,Male,HVHA,7,3.0,3.0,2.0,4.0,0,0,1,1
8,0.07179664505290433,0.42791805491930385,0.9999998573839778,0.4259198974306399,0.037199111404802324,0.47770279114164405,0.11845128305115459,0.4785252418820983,0.11860003655648696,0.8901558616154847,0.1682177377052377,0.144380238571564,0.18775216138328535,0.12404710089302928,0.624433597619754,12,V8,Male,HVLA,8,4.0,4.0,4.0,4.0,1,1,1,2
9,0.04491001319482709,0.44339402660912014,0.9999998686560104,0.5512861381451315,0.011232167107850948,0.6566127577379284,0.0407267639424079,0.5870376874810744,0.03780299532165169,0.9585928476571866,0.2084980126424494,0.0418500076300754,0.12204610951008647,0.04283873874534519,0.5976747894218905,15,0,Female,Baseline,0,4.0,4.0,4.0,3.0,1,1,0,1
10,0.020144731288981504,0.32073271711461687,0.9999998568499772,0.4630700214074462,0.022216708327069245,0.7336136876762875,0.13129261947772122,0.5109802958031707,0.028539804007177923,0.961809378811631,0.35869516508303323,0.03534032361875085,0.024405619596541795,0.05747627652202142,0.22731769453861406,15,V1,Female,LVLA,1,4.0,3.0,4.0,4.0,0,1,0,1
11,0.05352089157408945,0.3213134677943762,0.9999998742831667,0.44736668957093545,0.02090299624337735,0.543242458820036,0.05239353756920506,0.501911426235973,0.055167844572321996,0.919006780940671,0.07770421812634856,0.06918584023276335,0.07222622478386168,0.034683084536815595,0.17690939910968542,15,V2,Female,LVLA,2,4.0,3.0,5.0,4.0,0,1,0,1
12,0.028421076646473475,0.34903638140922566,0.9999998848507031,0.41913669586476915,0.04944406102389883,0.6019492546676095,0.07315069502865952,0.47715238942463084,0.06328182957297387,0.9205994182132078,0.11947359844910085,0.07360030338874118,0.18191642651296833,0.04086523135623671,0.3709338886169621,15,V3,Female,LVHA,3,4.0,4.0,5.0,4.0,1,1,0,0
13,0.056850136281238695,0.31984469526006004,0.9999998708082316,0.4520128585148223,0.040318198441097026,0.6344507185684134,0.1124874884905855,0.5140580500744106,0.10567079453829768,0.895526389854791,0.2208140899154842,0.10287611324011084,0.06006844380403459,0.09885905683837731,0.26452966386880195,15,V4,Female,LVHA,4,4.0,4.0,4.0,4.0,1,1,0,0
14,0.16010759849102707,0.18792152140969443,0.9999998618578329,0.5741009375597663,0.021428810660752515,0.30468897649268056,0.09710316215323386,0.7103354698004039,0.16212159560592942,0.9163979902872275,0.5505129126651936,0.11964682685137268,0.019932756964457257,0.26014852879140027,0.2501352991440896,15,V5,Female,HVHA,5,4.0,3.0,4.0,4.0,0,1,1,1
15,0.10536660656279301,0.38295569312261907,0.9999998571626443,0.46569463041590553,0.02451277493183755,0.3740199968007336,0.09089348469366858,0.5532875132307997,0.10508449132791325,0.8327177571170492,0.3021793873396357,0.1357663100513612,0.05151296829971182,0.18858334915464578,0.2862902649049628,15,V6,Female,HVLA,6,4.0,3.0,5.0,4.0,0,1,1,2
16,0.07729735114572468,0.3034814787888182,0.9999998668631234,0.47354373419168905,0.07531345594242465,0.5243827857732479,0.15937067462146823,0.4147429707885839,0.1317223763401913,0.8521550876915063,0.34916322750030726,0.15881481025655042,0.023703170028818454,0.24999821834561467,0.20286842435441912,15,V7,Female,HVHA,7,4.0,3.0,5.0,4.0,0,1,1,1
17,0.07853772596642762,0.44522260651995144,0.9999998580699083,0.4712668247425031,0.016581477139010887,0.4794871679546753,0.06570164027035014,0.49298623070734343,0.026741601993845423,0.9525198551317814,0.09495983435724473,0.05448013164671897,0.38760806916426516,0.031052727734085336,0.7457478911283126,15,V8,Female,HVLA,8,4.0,4.0,4.0,4.0,1,1,1,2
18,0.044875129416468686,0.3680399733930179,0.9999998449758063,0.43403200695044897,0.07469808658409977,0.6485606942706594,0.7323540985286641,0.4797411870266831,0.09383033853004306,0.8774298544501906,0.3509901435172813,0.09048685840481403,0.027876302371979602,0.14336977683115212,0.23788151552609524,1,0,Male,Baseline,0,3.0,2.0,3.0,3.0,0,0,0,1
19,0.2538836221786269,0.5638382558476231,0.9999998445447658,0.46924972159456346,0.0234729114551483,0.6807435195515863,0.6338015567267472,0.5088459222821501,0.11772586715226019,0.9353557760915401,0.17709287087935463,0.10617798797345603,0.046589817483189244,0.09501207281276612,0.22452152415400822,1,V1,Male,LVLA,1,4.0,3.0,2.0,3.0,0,1,0,1
20,0.04132077677067668,0.4289912497753261,0.9999998434443851,0.41116544601176436,0.03574271383546972,0.47549740999623724,0.40504710502797775,0.42648617112451637,0.06865763895141655,0.9524873640884425,0.17037073497119598,0.0618592712024158,0.09942363112391929,0.05379804528195552,0.4204051438407749,1,V2,Male,LVLA,2,3.0,4.0,4.0,3.0,1,0,0,1
21,0.054428495650345556,0.3684011613758194,0.9999998449193661,0.4385470409608595,0.041062348356182006,0.6384317196532776,0.5139788012087365,0.49520357346834626,0.14332112177496023,0.8085067264039605,0.05919882911553974,0.11708722884984236,0.04304755043227666,0.050122866350742534,0.09370112577671956,1,V3,Male,LVHA,3,3.0,3.0,3.0,2.0,0,0,0,0
22,0.11918451104640668,0.4831398532728585,0.9999998471101471,0.410751839482107,0.055979227232809854,0.6330483053293521,0.472319137160567,0.4232815904044106,0.05004211179051677,0.9696143454620146,0.06022410083188311,0.06616676969499626,0.07997118155619597,0.028574470729130736,0.120628399511539,1,V4,Male,LVHA,4,2.0,2.0,4.0,1.0,0,0,0,0
23,0.06734646784831616,0.43357268104556335,0.9999998419813787,0.44494509265920806,0.006766020508354069,0.2564060385609528,0.2109159156404776,0.472127564313712,0.01198694551806407,0.9863624504533822,0.2790404805615384,0.015225822771517442,0.025936599423631124,0.01676293363117021,0.09959309724647863,1,V5,Male,HVHA,5,3.0,3.0,3.0,4.0,0,0,1,1
24,0.16689565853583577,0.5702736950683717,0.999999845408176,0.410909899650232,0.032393722442607825,0.37603011069721193,0.2636883842018485,0.4403300708200332,0.12707909323728128,0.9849761708010712,0.12627647356736543,0.03584463826174038,0.05763688760806916,0.018627671332083776,0.15019659540723834,1,V6,Male,HVLA,6,3.0,3.0,3.0,3.0,0,0,1,2
25,0.05738548097645959,0.3723605292466131,0.9999998442919943,0.5457408367901373,0.021274343769934412,0.5211613378323823,0.340602433099292,0.5445937666137352,0.11031832919426778,0.8891944516675638,0.2876419564493654,0.12173552006290107,0.08546469740634008,0.14590171413423653,0.4530345002018825,1,V7,Male,HVHA,7,4.0,4.0,3.0,3.0,1,1,1,1
26,0.05783432925196946,0.3910061012836742,0.999999842960564,0.4959948020538401,0.00978289315062313,0.49304596912700527,0.28824497563030854,0.5028178133012838,0.07522468864509227,0.9380624113787475,0.09244310198888703,0.07183092632370001,0.03926512968299713,0.040212303986540174,0.11725290821121845,1,V8,Male,HVLA,8,4.0,2.0,3.0,3.0,0,1,1,2
27,0.33041589275610495,0.2764720550052407,0.9999998511352012,0.5114763614840258,0.003894923792818958,0.6804755579388315,0.15824263818695733,0.5263126321545962,0.03051916050206084,0.9014266536525137,0.1267108017495192,0.036120817828688874,0.0378242074927954,0.02519174182663636,0.12184272310206654,21,0,Male,Baseline,0,3.0,5.0,2.0,4.0,1,0,0,1
28,0.050001195482437616,0.34504484484470793,0.9999998566293957,0.3380933596129818,0.19170183797119952,0.6967632235017716,0.4367345542971879,0.43223951816897926,0.1428094639239083,0.8694287228079554,0.023291027326661676,0.14984369435472403,0.05475504322766571,0.04288880531630995,0.07303388288481742,21,V1,Male,LVLA,1,3.0,3.0,3.0,4.0,0,0,0,1
